,cluster
ATP5F1A,71
ATP5F1B,71
ATP5IF1,186
ATP5MC1,136
ATP5MC2,183
ATP5MC3,10
ATP5MG,71
ATP5MGL,98
ATP6V0A1,172
ATP6V0A2,113
ATP6V0A4,193
ATP6V0B,106
ATP6V0C,106
ATP6V0D1,106
ATP6V0D2,30
ATP6V0E1,116
ATP6V0E2,97
ATP6V1A,106
ATP6V1B1,178
ATP6V1B2,106
ATP6V1C1,106
ATP6V1C2,61
ATP6V1E1,106
ATP6V1E2,189
ATP6V1G1,116
ATP6V1G2,173
ATP6V1G3,67
ATP7A,15
ATP7B,16
ATP8A1,39
ATP8A2,65
ATP8B1,171
ATP8B2,129
ATP8B3,172
ATP8B4,48
ATP9A,186
ATP9B,67
ATPSCKMT,64
ATR,102
ATRN,152
ATRNL1,64
ATRX,83
ATXN1,169
ATXN1L,157
ATXN2,60
ATXN2L,84
ATXN3,38
ATXN3L,31
ATXN7,114
ATXN7L1,64
ATXN7L2,154
ATXN7L3,110
ATXN7L3B,165
AUH,34
AURKA,13
AURKB,102
AURKC,45
AUTS2,139
AVIL,195
AVP,132
AVPR1A,169
AVPR1B,182
AVPR2,74
AWAT1,156
AWAT2,178
AXIN1,90
AXIN2,5
AXL,70
AZGP1,15
AZI2,44
AZIN1,118
AZIN2,24
AZU1,56
B2M,31
B3GALNT1,51
B3GALNT2,55
B3GALT1,4
B3GALT2,11
B3GALT4,180
B3GALT5,7
B3GALT6,151
B3GAT1,79
B3GAT2,63
B3GAT3,151
B3GLCT,51
B3GNT2,150
B3GNT3,128
B3GNT4,77
B3GNT5,150
B3GNT6,130
B3GNT7,179
B3GNT8,171
B3GNT9,54
B4GALNT1,195
B4GALNT2,5
B4GALNT3,77
B4GALNT4,69
B4GALT1,140
B4GALT2,136
B4GALT3,132
B4GALT4,43
B4GALT5,2
B4GALT6,164
B4GALT7,151
B4GAT1,119
B9D1,175
B9D2,42
BAAT,127
BACE1,79
BACE2,166
BACH1,48
BACH2,98
BAG3,70
BAG4,34
BAG5,47
BAHD1,177
BAIAP2,73
BAIAP2L1,198
BAIAP2L2,189
BAIAP3,50
BAK1,185
BAMBI,38
